Titel,Doel,Thema,Stakeholders,Trekker,Startdatum,Eind datum,Status,Uren,Inspanning,Resultaat,Opmerking
"Waarden kader online proctoring","Landelijk overeenstemming bereiken tussen verschillende betrokken partijen/doelgroepen over de voorwaarden waaronde online proctoring worden ingezet.","[""Proctoring""]","[""Studenten"",""Bestuur"",""Beleidsmedewerkers""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""}]","8-2-2021","15-4-2021","Begonnen","20","Aanhaken bij/input leveren aan activiteiten VSNU/VH","Landelijk overeenstemming met belanghebbenden over inzet online proctoring ",
"Proctoing Informatie","""Informatie verstrekken over online proctoring: wat is het/ hoe/wanneer wordt het ingezet. Zie ook: https://www.surf.nl/online-proctoring
Welke rechten heb je als studenten?""","[""Proctoring""]","[""Medezeggenschap"",""Docenten""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""}]","1-4-2021","1-6-2021","Niet begonnen","8","Verzamelen bestaand materiaal en begeleidende tekst schrijven","Publicatie voor doelgroep. Verzameling van bestaand materiaal.",
"Campus vs Proctor toetsing","Onderzoek naar verschil van tentamen scores online proctoring vs on campus toetsing.","[""Proctoring""]","[""Bestuur"",""Beleidsmedewerkers""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""}]","8-2-2021","1-5-2021","Niet begonnen","16","Gegevens analyseren en rapporteren","Online rapport",
"Herziene grondslag voor proctoring","Achterhalen wat de grondslag voor online proctoring zal worden na de crisis.","[""Proctoring""]","[""Functionaris gegevensbescherming"",""Juridisch adviseurs""]",,"1-4-2021","1-5-2021","Niet begonnen","15","Organiseren van exper meeting.","Advies rapport.",
"Model PvE voor proctoring","Landelijke samenwerking bij opstellen plan van eisen voor online proctoring software.","[""Proctoring""]","[""Inkoop"",""Functionaris gegevensbescherming"",""Juridisch adviseurs"",""Functioneel beheerders / ICTO""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""},{""id"":""15"",""value"":""Annette Peet"",""title"":""Annette Peet"",""email"":""annette.peet@surf.nl"",""sip"":"""",""picture"":""""}]","8-2-2021","1-6-2021","Begonnen","20","Verzamelen PvE-informatie bij instellingen. Afstemmen met SURF","Model PvE proctoring","Samenvoegen met punt over landelijke Proctoring gebruikersgroep?

Wie het uitvoert doet niet af aan onze deliverable."
"Gebruikersgroep online proctoring","Aanwakkeren gebruikersgroep proctorio","[""Proctoring""]","[""Toetsexperts"",""Functioneel beheerders / ICTO""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""},{""id"":""15"",""value"":""Annette Peet"",""title"":""Annette Peet"",""email"":""annette.peet@surf.nl"",""sip"":"""",""picture"":""""}]","8-2-2021","1-4-2021","Begonnen","10","Annette stemt af intern SURF","Landelijke gebruikersgroep","ism SURF"
"Markt verkenning PvE proctoring","Bespreken PvE met markt partijen","[""Proctoring""]","[""Leveranciers""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""},{""id"":""15"",""value"":""Annette Peet"",""title"":""Annette Peet"",""email"":""annette.peet@surf.nl"",""sip"":"""",""picture"":""""}]","1-4-2021","1-6-2021","Niet begonnen","10","Initieren activiteiten.","bijeenkomst ism SURF","link naar gebruikersgroep duidelijk maken. "
"Rol formatief toetsen","Bewustwording rol formatief toetsen in toetsproces.","[""Toetsdoel %26 toetsontwerp""]","[""Docenten"",""Toetsexperts""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""}]","1-6-2021","1-9-2021","Niet begonnen","10","Informatie verzamelen en delen.","artikel/webinar",
"Inrichting digitaal toetsen","Advies uitbrengen naar betrokkenen HO-instellingen over logistieke inrichting toetsproces.","[""Toetsorganisatie""]","[""Functioneel beheerders / ICTO"",""Leveranciers"",""Beleidsmedewerkers"",""Bestuur""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""},{""id"":""19"",""value"":""Marjoleine Dobbelaer"",""title"":""Marjoleine Dobbelaer"",""email"":""Marjoleine.Dobbelaer@han.nl"",""sip"":"""",""picture"":""""}]","1-3-2021","1-5-2021","Niet begonnen","16","Kennis verzamelen en delen - best practices verzamelen.","Checklist /. kennis clips / publicatie",
"Inrichtingsmodel hybride toetsing","Instellingen faciliteren met een inrichtingsmodel voor hybride toetsing.","[""Procedures""]","[""Functioneel beheerders / ICTO"",""Onderwijslogistiek""]","[{""id"":""14"",""value"":""Sharon Klinkenberg"",""title"":""Sharon Klinkenberg"",""email"":""S.Klinkenberg@uva.nl"",""sip"":"""",""picture"":""""}]","1-3-2021","1-4-2021","Niet begonnen","16","Kennis hierover ontwikkelen ism SIG DT","INrichtings model",
